Designator,Mid X,Mid Y,Rotation,Layer
C1,17.7,43.2,90.0,top
C10,18.9,19.5,180.0,top
C11,24.1,18.0,-90.0,top
C12,28.0,13.7,0.0,top
C13,45.6,18.6,-90.0,top
C14,42.6,10.4,0.0,top
C15,42.2,11.9,0.0,top
C16,45.5,7.4,180.0,top
C17,45.5,5.4,180.0,top
C18,46.18,3.9,180.0,top
C19,42.5,17.4,0.0,top
C2,14.7,30.4,180.0,top
C20,32.1,9.5,-90.0,top
C21,14.0,15.0,180.0,top
C22,37.3,10.0,-90.0,top
C23,39.7,10.0,-90.0,top
C24,8.6,47.4,90.0,top
C25,49.65,24.7,90.0,top
C26,15.2,46.5,180.0,top
C27,3.4,47.4,90.0,top
C28,48.0,33.3,90.0,top
C29,48.0,42.3,90.0,top
C3,16.54,32.6,180.0,top
C30,48.0,24.3,90.0,top
C4,17.7,29.2,90.0,top
C5,19.5,16.0,0.0,top
C6,16.54,18.6,180.0,top
C7,18.5,32.4,180.0,top
C8,18.5,18.4,180.0,top
C9,18.9,33.5,180.0,top
D1,41.3,5.4,0.0,top
D2,29.0,4.4,180.0,top
FID1,1.8,50.6,0.0,top
FID2,1.8,1.2,0.0,top
FID3,66.6,36.3,0.0,top
J1,7.5,26.5,-90.0,top
J2,4.0,27.5,0.0,top
J3,7.5,17.0,-90.0,top
J4,4.0,18.0,0.0,top
J6,6.0,40.0,90.0,top
J7,22.81,46.5,0.0,top
J8,4.1,9.2,0.0,top
J9,10.5,4.6,0.0,top
J10,1.0,26.5,0.0,top
J11,1.0,17.0,0.0,top
L1,48.1,13.0,-90.0,top
Q1,26.7,31.2,0.0,top
Q2,26.7,20.4,0.0,top
Q3,21.6,7.5,0.0,top
R1,19.25,44.1,0.0,top
R10,43.2,3.9,0.0,top
R11,23.7,15.1,180.0,top
R12,37.7,14.3,0.0,top
R13,44.25,19.0,90.0,top
R14,37.7,13.2,0.0,top
R15,40.9,17.5,90.0,top
R16,41.5,19.1,0.0,top
R17,39.8,17.5,-90.0,top
R18,38.7,17.5,90.0,top
R19,25.0,2.5,-90.0,top
R2,19.25,30.1,0.0,top
R3,25.3,34.0,-90.0,top
R4,24.1,22.2,-90.0,top
R5,24.2,32.4,-90.0,top
R6,24.1,20.2,-90.0,top
R7,24.2,30.39,-90.0,top
R8,23.0,20.2,90.0,top
R9,23.7,16.2,0.0,top
SW1,62.0,16.5,180.0,top
U1,42.5,26.5,180.0,top
U2,42.5,44.5,180.0,top
U3,42.5,35.5,180.0,top
U4,18.0,38.0,180.0,top
U5,18.0,24.05,180.0,top
U6,26.5,16.5,-90.0,top
U7,42.0,14.5,-90.0,top
