"Designator","Footprint","Quantity","Value","LCSC Part #"
"C101, C104, C107, C108, C114, C115, C208, C220, C221, C222","C_1005_(0402)",10,"100n","C1525"
"C102, C105, C203, C209, C210",1206,5,"10u VM","C13585"
"C103, C106, C211","C_1005_(0402)",3,"100n VM","C307331"
"C109, C110","C_1005_(0402)",2,"22n VM","C337699"
"C111, C212, C213, C214, C216, C217, C218, C219",805,8,"22u","C45783"
"C112, C113","C_1005_(0402)",2,"22n","C337699"
"C201, C202","CP_Elec_6.3x7.7",2,"100u VM","C2972719 "
"C215","C_1005_(0402)",1,"56p","C107007"
"D101, D102, D103, D104",603,4,"0603_LED_Yellow","C72038"
"D201","D_SOD-323",1,"10V","C85383"
"D202",603,1,"0603_LED_Green","C72043 "
"J101, J103","PhoenixContact_MC_1,5_2-G-3.5_1x02_P3.50mm_Horizontal_edited",2,"MC 1,5/ 2-G-3,5","C409115"
"J105","JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal",1,"STEMMA QT","C160404"
"J106","PinHeader_2x04_P2.54mm_Vertical_SMD",1,"Conn_02x04_smd","C780053"
"J107","PinHeader_1x04_P2.54mm_Vertical_solderpad",1,"Conn_01x04_f"," C2685089"
"J201","BarrelJack_2.1mm_SMD",1,"Barrel_Jack_MountingPin","C319134 "
"L201","L_7.1x6.6_H3_SLO0630H",1,"15uH","C182182 "
"Q101, Q102","SOT-23",2,"AO3400A","C20917"
"Q201","SOIC-8_3.9x4.9mm_P1.27mm",1,"AO4407C","C469397"
"R101, R102, R103, R104, R107, R108, R109, R110, R201, R202","R_1005_(0402)",10,"47k","C163440"
"R111, R112","R_1005_(0402)",2,"1k43","C226851"
"R113, R114","R_1005_(0402)",2,"732R","C321605"
"R115, R204","R_1005_(0402)",2,"9k1","C25926"
"R116, R203","R_1005_(0402)",2,"100k","C60491"
"SW101","SW_SPST_TS-1088-AR02016",1,"Switch","C720477"
"U101","SO-14_3.9x8.65mm_P1.27mm",1,"74HC04","C5590"
"U102","SO-14_3.9x8.65mm_P1.27mm",1,"74HC08","C5593"
"U103","SO-14_3.9x8.65mm_P1.27mm",1,"74HC32","C5632"
"U104, U105","HTSSOP-16-1EP_4.4x5mm_P0.65mm_EP3.4x5mm_Mask2.46_HiAmp",2,"DRV8874PWPR","C1855818"
"U106","SOT-23-5",1,"LMV321","C7972"
"U201","SOT-23-6",1,"TPS54302","C311983"
